mineral,name,key,type,internationalCompanyName,officeCountry,year,oreOutputs,oreUnits,grossRevenues,netProfit,totalTax,CSR,CSRpercent,sourceName,sourceURL
Chrome,Apple Bridge Investements,applebri, Local Company (GoZ),,Zimbabwe,2021,194546,kg,10417447.88,,,,0.0%,Chamber of Mines,
Chrome,Zimasco,zimasco,International Company,Sinosteel Corporation,China,2017,350000,kg,,,,,0.0%,The Herald,https://www.herald.co.zw/zimasco-turns-the-bend-operating-at-80pc-capacity/
Chrome,Zimasco,zimasco,International Company,Sinosteel Corporation,China,2020,,,,,,344000,0.0%,Zimasco CSR report,https://zimasco.co.zw/category/csr/  
Chrome,Zimasco,zimasco,International Company,Sinosteel Corporation,China,2021,117480.71,kg,5210439.78,,,,0.0%,Chamber of Mines,
Diamond,Anjin Investments,anjin,International Company,Anhui Foreign Economic Construction Group,China,2017,,,,,,,0.0%,,
Diamond,Anjin Investments,anjin,International Company,Anhui Foreign Economic Construction Group,China,2018,,,,,,,0.0%,,
Diamond,Anjin Investments,anjin,International Company,Anhui Foreign Economic Construction Group,China,2019,,,,,,,0.0%,,
Diamond,Anjin Investments,anjin,International Company,Anhui Foreign Economic Construction Group,China,2020,790000,carats,,,,,0.0%,,
Diamond,Anjin Investments,anjin,International Company,Anhui Foreign Economic Construction Group,China,2021,63510,carats,10317834.6,,,,0.0%,Chamber of Mines,
Diamond,RioZim,riod,Local Company,RZM Murowa,,2017,732045,carats,79640000,1400000,3610000,,0.0%,,
Diamond,RioZim,riod,Local Company,RZM Murowa,,2018,740244,carats,83860000,1500000,4440000,,0.0%,,
Diamond,RioZim,riod,Local Company,RZM Murowa,,2019,685000,carats,,,17210000,450000,0.0%,,
Diamond,RioZim,riod,Local Company,RZM Murowa,,2020,553044,carats,73450000,,17700000,1140000,1.6%,,
Diamond,RioZim,riod,Local Company,RZM Murowa,,2021,414000,carats,53084264,-21227616,6603561,1040000,2.0%,,
Diamond,RioZim,riod,Local Company,RZM Murowa,,2022,426000,carats,30096302,-26822572,11583962,,0.0%,,
Diamond,Zimbabwe Consolidated Diamond Mining Company,zcdmc,Local Company (GoZ),Defold Mine (Pvt) Ltd,Zimbabwe,2017,1776384,carats,272657,-15355141,6300335,,0.0%,ZCDC 2017 Annual report,https://www.zcdco.com/wp-content/uploads/2020/07/ZCDC-2017-Annual-Report.pdf
Diamond,Zimbabwe Consolidated Diamond Mining Company,zcdmc,Local Company (GoZ),Defold Mine (Pvt) Ltd,Zimbabwe,2018,2766576,carats,12777759,-55355140,17871037,5000000,39.1%,ZCDC 2018 Annual Report,https://www.zcdco.com/wp-content/uploads/2020/07/ZCDC-2018-Annual-Report.pdf
