mineral,name,key,type,internationalCompanyName,officeCountry,year,oreOutputs,oreUnits,grossRevenues,netProfit,totalTax,CSR,CSRpercent,sourceName,sourceURL
Platinum,Mimosa,mimosa,International Company,Sibanye Still Water,South Africa,2017,,," 255,320,400.00 "," 198,852,200.00 ",," 242,700.00 ",0.1%,,
Platinum,Mimosa,mimosa,International Company,Sibanye Still Water,South Africa,2018," 125,000.00 ",ounces," 270,164,400.00 "," 235,627,920.00 "," 15,457,860.00 "," 222,816.00 ",0.1%,Implats 2018 Report,https://implats-ir.co.za/reports/implats-ir-2018/implats-air-2018/pdf/implats-iar-2018-new.pdf
Platinum,Mimosa,mimosa,International Company,Sibanye Still Water,South Africa,2019," 122,000.00 ",ounces," 291,720,000.00 "," 291,720,000.00 "," 13,483,000.00 "," 3,000,000.00 ",1.0%,Implats Annual Integrated Report 2019,https://www.implats.co.za/pdf/annual-reports/annual-integrated-report/2019/implats-air-2019.pdf
Platinum,Mimosa,mimosa,International Company,Sibanye Still Water,South Africa,2020," 248,000.00 ",ounces," 347,335,200.00 "," 316,675,500.00 "," 34,747,200.00 ",,0.0%,Implats Annual Report 2020,http://www.implats.co.za/pdf/annual-reports/reports/2020/implats-air-2020.pdf
Platinum,Mimosa,mimosa,International Company,Sibanye Still Water,South Africa,2021," 261,000.00 ",ounces," 648,121,600.00 "," 391,561,500.00 "," 90,701,800.00 ",,0.0%,Implats Annual Report 2021,https://www.implats.co.za/pdf/annual-reports/annual-integrated-report/2021/integrated-report-2021.pdf
Platinum,Mimosa,mimosa,International Company,Sibanye Still Water,South Africa,2022," 246,000.00 ",ounces," 231,864,600.00 "," 127,624,309.40 ",,,0.0%,Implats Annual Integrated Report 2022,https://www.implats.co.za/pdf/annual-reports/annual-integrated-report/2022/integrated-report-2022.pdf
Platinum,Mimosa,mimosa,International Company,Sibanye Still Water,South Africa,2023,,ounces," 75,000,000.00 ","-111,000,000.00 "," 25,000,000.00 ",,0.0%,,
Platinum,Unki Mine (Pvt) Limited,unki,International Company,Anglo-American,United Kingdom,2017,,ounces," 201,069,570.60 ",," 17,300,000.00 "," 400,000.00 ",0.2%,Anglo American Tax and Economic Contribution Report,https://www.angloamerican.com/~/media/Files/A/Anglo-American-Group/PLC/investors/annual-reporting/2018/tax-and-economic-contribution-report-2017.pdf
Platinum,Unki Mine (Pvt) Limited,unki,International Company,Anglo-American,United Kingdom,2018,,," 159,670,122.00 "," 56,879,454.00 ",," 700,000.00 ",0.4%,Anglo American Country by Country Report 2018 Anglo American Tax and Economic Contribution Report 2018,https://www.angloamerican.com/~/media/Files/A/Anglo-American-Group/PLC/investors/annual-reporting/2019/anglo-american-country-by-country-report-2018-revised-july-2021.pdf https://www.angloamerican.com/~/media/Files/A/Anglo-American-Group/PLC/investors/annual-reporting/2019/tax-and-economic-contribution-report-2018-full.pdf
Platinum,Unki Mine (Pvt) Limited,unki,International Company,Anglo-American,United Kingdom,2019,,," 285,026,598.00 "," 70,852,064.00 "," 28,100,000.00 "," 1,100,000.00 ",0.4%,Anglo American Country by Country Report 2019 Anglo American Tax and Economic Contribution Report 2019,https://www.angloamerican.com/~/media/Files/A/Anglo-American-Group/PLC/investors/annual-reporting/2020/anglo-american-country-by-country-report-2019.pdf https://www.angloamerican.com/~/media/Files/A/Anglo-American-Group/PLC/investors/annual-reporting/2020/tax-and-economic-contribution-report.pdf
